11101111,10001111,01011000,1
00111101,00110000,10001110,0
11111111,00111100,00011001,0
01000111,10001111,01011000,1
11101111,00010010,01001100,0
10101111,10011010,00010010,0
11000111,10001111,01011000,1
10001111,10001111,01011000,1
11111111,10001111,01011000,1
00010111,01011101,00010111,0
11100101,10001111,01011000,1
10111111,01011111,10100101,0
11111111,00001110,01011110,0
11000111,10001111,01011000,1
10001111,10001111,01011000,1
11100100,10001010,11001001,0
11110011,10001111,01011000,1
11001111,00011101,01011111,0
11101111,10001111,01011000,1
11111100,10010001,00000001,0
